,I_1,I_2,I_4,I_8,I_16,I_inf,W_100,W_1000,W_10000,W_100000,est_lb,est,est_ub
141,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.35383500592752,29.865064141777918,30.376293277628314
142,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,43.527017539225184,44.00565705431489,44.48429656940459
143,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.63405494957127,30.254233935707525,30.87441292184378
144,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,56.35722198255495,62.97858586724926,69.59994975194357
145,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,44.66932794675753,44.68432794675753,44.69932794675753
146,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,44.53286642099207,45.28179832151626,46.03073022204045
147,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.481817836910345,30.038079169708503,30.594340502506665
148,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.14397876340848,45.18260340366158,45.221228043914685
149,8.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.51449430422305,30.08303717171218,30.651580039201313
150,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,49.121257421955825,50.20319242835454,51.285127434753264
151,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.667307287512035,30.305175106500627,30.943042925489216
152,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.16022870497119,45.175411446998766,45.19059418902635
153,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,44.08542813904342,44.11092612446387,44.13642410988432
154,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.60677680516446,30.214142492744795,30.82150818032513
155,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,44.86586525579682,44.88086525579682,44.89586525579682
156,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.526587368483153,30.099663317124616,30.672739265766083
157,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.242621268767124,29.72169753282621,30.200773796885294
158,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.08547066712591,45.27736251341881,45.4692543597117
159,9.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,49.688644492333125,51.70018354221786,53.711722592102596
160,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.23796749879467,29.7160776768198,30.194187854844934
161,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.514609900497124,30.082364346927463,30.6501187933578
162,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.634685425076157,30.25429820621541,30.873910987354666
163,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.59410200454806,45.94142662130491,46.28875123806177
164,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.19903016721596,45.85563263519573,46.51223510317551
165,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.18333880603513,29.64691268559243,30.110486565149728
166,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.409369190836763,29.938747491581534,30.468125792326305
167,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,27.902867538617038,28.070756293248255,28.238645047879473
168,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.569225202346264,30.160353980063505,30.751482757780746
169,11.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.464616842562826,30.01304952429698,30.561482206031137
170,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.665750489487575,30.302531851204545,30.939313212921515
171,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.455491171483374,30.00158503450743,30.547678897531483
172,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,28.16724330226004,29.40155019817355,30.635857094087058
173,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,29.755012154450274,30.801503378741273,31.84799460303227
174,12.0,16.0,16.0,16.0,16.0,16.0,inf,inf,inf,inf,45.008402247578566,45.237182285622,45.46596232366544
