,I_1,I_2,I_4,I_8,I_16,I_inf,W_100,W_1000,W_10000,W_100000,est_lb,est,est_ub
210,6.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,33.019400555733256,33.392823482937786,33.76624641014231
211,6.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,35.65989703753113,39.84856121174212,44.037225385953114
212,6.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,33.89075220282061,33.90575220282061,33.92075220282061
213,6.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,32.16309711344342,32.24087598723923,32.318654861035036
214,6.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,35.77202840764381,36.368958726750435,36.965889045857054
215,6.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,33.35014247831646,33.367683847519565,33.385225216722674
216,6.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,33.4902831836196,33.524421758970576,33.55856033432155
217,6.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,30.151906251452715,32.474320365817775,34.79673448018283
218,6.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,36.30122612954676,36.57767784272808,36.854129555909395
219,6.0,32.0,32.0,32.0,32.0,32.0,inf,inf,inf,inf,32.8450028020724,33.02676866836117,33.20853453464995
